reaction_id,log2fc,p_value,subsystem,flux_cond1,flux_cond2
EX_acald_e,0.8921,0.412,Extracellular exchange,4.3208,8.0191
EX_lac__D_e,-0.2153,0.364,Extracellular exchange,3.0127,2.5951
EX_lac__L_e,-0.1595,0.615,Extracellular exchange,4.448,3.9824
EX_crn__D_e,-0.685,0.244,Extracellular exchange,4.7591,2.9603
EX_lcts_e,0.5674,0.275,Extracellular exchange,6.4997,9.6317
EX_acgal_e,-0.2984,0.575,Extracellular exchange,3.0955,2.5171
EX_acgal1p_e,0.001,0.65,Extracellular exchange,1.003,1.0037
EX_acgam_e,0.1651,0.832,Extracellular exchange,7.7202,8.6561
EX_leu__L_e,-0.0524,0.604,Extracellular exchange,7.5372,7.2685
EX_csn_e,-0.9325,0.263,Extracellular exchange,3.5891,1.8805
EX_acgam1p_e,0.1134,0.753,Extracellular exchange,4.9528,5.358
EX_acmana_e,-1.0715,0.197,Extracellular exchange,2.3619,1.1238
EX_acmum_e,-0.4972,0.522,Extracellular exchange,1.8523,1.3123
EX_lipa_e,0.9427,0.483,Extracellular exchange,9.4855,18.2327
EX_cu_e,0.7909,0.212,Extracellular exchange,8.7055,15.0614
EX_lipa_cold_e,0.8547,0.427,Extracellular exchange,7.7124,13.9469
EX_acnam_e,0.7496,0.38,Extracellular exchange,3.9727,6.6797
EX_acolipa_e,-0.0992,0.879,Extracellular exchange,8.9754,8.3793
EX_cu2_e,-0.6789,0.275,Extracellular exchange,0.2217,0.1385
EX_acser_e,-0.0842,0.34,Extracellular exchange,0.2548,0.2403
EX_ade_e,0.1461,0.409,Extracellular exchange,3.4116,3.7753
EX_adn_e,0.7516,0.241,Extracellular exchange,6.7594,11.3805
EX_adocbl_e,0.0049,0.823,Extracellular exchange,5.0959,5.1133
EX_ag_e,0.0411,0.657,Extracellular exchange,1.2126,1.2476
EX_lipoate_e,0.2323,0.344,Extracellular exchange,1.0253,1.2044
EX_lys__L_e,0.1491,0.617,Extracellular exchange,2.4167,2.6799
EX_lyx__L_e,-1.1872,0.254,Extracellular exchange,4.593,2.0171
EX_mal__D_e,0.1375,0.474,Extracellular exchange,4.1131,4.5244
EX_agm_e,-0.3622,0.655,Extracellular exchange,1.4756,1.148
EX_akg_e,0.2596,0.683,Extracellular exchange,10.3293,12.3659
EX_cyan_e,0.1881,0.6,Extracellular exchange,6.3878,7.2774
EX_ala_B_e,0.7497,0.349,Extracellular exchange,4.4687,7.514
EX_ala__D_e,-1.0007,0.323,Extracellular exchange,4.8644,2.431
EX_ala__L_e,-0.7182,0.55,Extracellular exchange,4.1788,2.5402
EX_alaala_e,0.3274,0.386,Extracellular exchange,0.5499,0.69
EX_all__D_e,-0.8276,0.434,Extracellular exchange,1.8138,1.022
EX_alltn_e,1.1663,0.177,Extracellular exchange,3.113,6.9865
EX_amp_e,-0.5169,0.311,Extracellular exchange,4.9546,3.4626
EX_anhgm_e,-1.5769,0.269,Extracellular exchange,5.0568,1.695
EX_arab__L_e,0.3371,0.435,Extracellular exchange,6.4205,8.1103
EX_mal__L_e,0.458,0.303,Extracellular exchange,2.9016,3.9858
EX_malt_e,-0.3941,0.259,Extracellular exchange,4.3987,3.3473
EX_malthx_e,-1.4077,0.304,Extracellular exchange,0.1554,0.0586
EX_maltpt_e,-0.0274,0.657,Extracellular exchange,3.3799,3.3163
EX_malttr_e,-0.6052,0.393,Extracellular exchange,1.2628,0.8301
EX_maltttr_e,1.1906,0.212,Extracellular exchange,7.3604,16.8004
EX_man_e,-0.0447,0.783,Extracellular exchange,1.7574,1.7038
EX_cynt_e,-0.1269,0.536,Extracellular exchange,6.2258,5.7016
EX_man6p_e,-0.9678,0.292,Extracellular exchange,5.7663,2.9482
EX_manglyc_e,-0.2678,0.646,Extracellular exchange,2.5774,2.1407
EX_melib_e,0.5192,0.637,Extracellular exchange,10.5914,15.1787
EX_cys__D_e,1.0754,0.384,Extracellular exchange,5.9804,12.6028
EX_meoh_e,-0.0912,0.73,Extracellular exchange,3.7706,3.5396
EX_met__D_e,0.1048,0.859,Extracellular exchange,0.9299,0.9999
EX_arbt_e,0.7365,0.541,Extracellular exchange,3.7091,6.1798
EX_arbtn_e,0.2865,0.533,Extracellular exchange,7.0834,8.6396
EX_arbtn_fe3_e,-1.3456,0.283,Extracellular exchange,4.0471,1.5925
EX_met__L_e,-0.5544,0.622,Extracellular exchange,2.2133,1.5071
EX_cys__L_e,-0.7311,0.419,Extracellular exchange,7.9815,4.8083
EX_metsox_R__L_e,-0.4093,0.311,Extracellular exchange,6.6707,5.0228
EX_metsox_S__L_e,0.4966,0.358,Extracellular exchange,5.2859,7.4576
EX_mg2_e,0.5533,0.366,Extracellular exchange,6.7894,9.9628
EX_mincyc_e,0.8562,0.407,Extracellular exchange,2.7575,4.9917
EX_minohp_e,0.2523,0.327,Extracellular exchange,3.1286,3.7264
EX_mmet_e,-0.305,0.759,Extracellular exchange,3.7293,3.0187
EX_arg__L_e,-1.0215,0.232,Extracellular exchange,7.9392,3.9108
EX_ascb__L_e,0.6423,0.483,Extracellular exchange,7.4403,11.6129
EX_asn__L_e,-0.0476,0.899,Extracellular exchange,11.9553,11.5671
EX_aso3_e,-0.5961,0.62,Extracellular exchange,2.9163,1.9293
EX_asp__L_e,0.5318,0.544,Extracellular exchange,8.996,13.0055
EX_btn_e,-0.0569,0.633,Extracellular exchange,2.3851,2.2929
EX_but_e,-0.9114,0.185,Extracellular exchange,2.0292,1.0789
EX_mn2_e,-0.3387,0.645,Extracellular exchange,6.9424,5.4899
EX_mnl_e,0.1459,0.351,Extracellular exchange,5.8161,6.4351
EX_mobd_e,0.4385,0.637,Extracellular exchange,7.2361,9.8061
EX_mso3_e,-0.1559,0.663,Extracellular exchange,6.194,5.5597
EX_n2o_e,-0.3553,0.616,Extracellular exchange,8.489,6.6361
EX_na1_e,-0.8601,0.39,Extracellular exchange,6.4345,3.545
EX_nac_e,0.5565,0.602,Extracellular exchange,1.0193,1.499
EX_nh4_e,-0.0104,0.629,Extracellular exchange,2.6576,2.6384
EX_butso3_e,0.1345,0.707,Extracellular exchange,0.306,0.3358
EX_ca2_e,0.5665,0.444,Extracellular exchange,0.433,0.6412
EX_cbi_e,-0.1045,0.574,Extracellular exchange,4.4063,4.0984
EX_cytd_e,-0.177,0.753,Extracellular exchange,1.6672,1.4747
EX_cbl1_e,-0.3687,0.678,Extracellular exchange,5.9065,4.5744
EX_cd2_e,-0.1973,0.296,Extracellular exchange,3.4661,3.023
EX_cgly_e,0.5196,0.269,Extracellular exchange,2.3723,3.4009
EX_ni2_e,0.7302,0.48,Extracellular exchange,4.8474,8.0413
EX_nmn_e,0.1468,0.583,Extracellular exchange,2.9367,3.2512
EX_no_e,0.3556,0.461,Extracellular exchange,8.7468,11.1918
EX_no2_e,0.0679,0.425,Extracellular exchange,3.6584,3.8346
EX_no3_e,-0.0234,0.563,Extracellular exchange,5.2097,5.1258
EX_novbcn_e,1.0718,0.205,Extracellular exchange,3.699,7.7756
EX_o16a4colipa_e,0.1929,0.408,Extracellular exchange,3.2338,3.6966
EX_o2_e,-0.2979,0.36,Extracellular exchange,3.1952,2.5991
EX_o2s_e,0.2946,0.356,Extracellular exchange,6.0589,7.4314
EX_ocdca_e,0.137,0.597,Extracellular exchange,4.6381,5.1
EX_ocdcea_e,0.2065,0.275,Extracellular exchange,9.7543,11.2555
EX_octa_e,-0.6218,0.216,Extracellular exchange,8.6477,5.6199
EX_orn_e,-0.4147,0.466,Extracellular exchange,6.509,4.883
EX_orot_e,-0.1551,0.774,Extracellular exchange,4.2145,3.785
EX_pacald_e,-0.1188,0.368,Extracellular exchange,10.2183,9.4107
EX_peamn_e,0.3,0.299,Extracellular exchange,6.1944,7.6261
EX_phe__L_e,0.0041,0.369,Extracellular exchange,6.7447,6.7638
EX_pheme_e,0.4028,0.476,Extracellular exchange,2.1496,2.8419
EX_chol_e,-1.0019,0.172,Extracellular exchange,4.8156,2.4047
EX_chtbs_e,0.7819,0.186,Extracellular exchange,6.3493,10.9168
EX_cit_e,-0.7697,0.5,Extracellular exchange,4.9499,2.9032
EX_cl_e,0.5577,0.349,Extracellular exchange,5.1127,7.5255
EX_pi_e,-0.1248,0.726,Extracellular exchange,4.7248,4.3332
EX_dad_2_e,0.6686,0.464,Extracellular exchange,4.0898,6.5008
EX_pnto__R_e,0.5402,0.573,Extracellular exchange,0.1267,0.1842
EX_ppa_e,-0.2348,0.694,Extracellular exchange,5.2029,4.4215
EX_damp_e,0.4746,0.37,Extracellular exchange,1.2235,1.7
EX_ppal_e,0.7586,0.304,Extracellular exchange,4.4435,7.5176
EX_dca_e,0.0881,0.44,Extracellular exchange,3.0175,3.2076
EX_pppn_e,0.1535,0.777,Extracellular exchange,4.533,5.0418
EX_ppt_e,-0.571,0.507,Extracellular exchange,7.4611,5.0224
EX_dcmp_e,0.3172,0.301,Extracellular exchange,3.8853,4.8407
EX_pro__L_e,-0.3907,0.445,Extracellular exchange,4.9369,3.7658
EX_dcyt_e,0.1838,0.593,Extracellular exchange,5.932,6.7381
EX_progly_e,0.4104,0.422,Extracellular exchange,5.8553,7.7819
EX_psclys_e,0.8234,0.501,Extracellular exchange,8.1506,14.4235
EX_ddca_e,0.9772,0.217,Extracellular exchange,6.1902,12.1859
EX_pser__L_e,-0.025,0.772,Extracellular exchange,4.0474,3.978
EX_ptrc_e,0.3881,0.321,Extracellular exchange,4.1435,5.4226
EX_dgmp_e,-0.587,0.538,Extracellular exchange,10.1116,6.7316
EX_dgsn_e,0.6555,0.497,Extracellular exchange,10.4851,16.5154
EX_val__L_e,1.4228,0.155,Extracellular exchange,2.9584,7.9315
EX_xan_e,-0.0172,0.431,Extracellular exchange,4.4388,4.3862
EX_dha_e,-0.3903,0.346,Extracellular exchange,4.6035,3.5122
EX_xmp_e,-0.3822,0.687,Extracellular exchange,7.6935,5.9029
EX_dimp_e,-0.6116,0.504,Extracellular exchange,3.2323,2.1154
EX_din_e,0.3745,0.615,Extracellular exchange,10.1097,13.1062
EX_xtsn_e,0.2364,0.558,Extracellular exchange,2.0828,2.4537
EX_pydam_e,0.5431,0.496,Extracellular exchange,6.6051,9.6243
EX_xyl__D_e,1.1131,0.245,Extracellular exchange,3.1243,6.758
EX_xylu__L_e,0.0431,0.895,Extracellular exchange,1.0021,1.0325
EX_zn2_e,-0.2079,0.751,Extracellular exchange,2.6688,2.3106
12DGR120tipp,1.0084,0.106,"Transport, Inner Membrane",5.4962,11.0567
12DGR140tipp,0.8676,0.0988,"Transport, Inner Membrane",2.2918,4.1817
12DGR141tipp,0.3755,0.413,"Transport, Inner Membrane",5.8012,7.5256
12DGR160tipp,0.4103,0.225,"Transport, Inner Membrane",2.2624,3.0066
12DGR161tipp,-0.0393,0.605,"Transport, Inner Membrane",4.4006,4.2822
12DGR180tipp,0.0325,0.711,"Transport, Inner Membrane",7.2884,7.4544
EX_pydx_e,0.004,0.669,Extracellular exchange,7.792,7.8137
EX_pydxn_e,0.293,0.416,Extracellular exchange,4.4885,5.4993
EX_pyr_e,-0.0678,0.595,Extracellular exchange,7.6832,7.3304
EX_quin_e,0.1487,0.694,Extracellular exchange,3.3848,3.7521
EX_r5p_e,-0.6521,0.403,Extracellular exchange,6.7197,4.2762
EX_rfamp_e,-0.2761,0.582,Extracellular exchange,3.9626,3.2725
EX_rib__D_e,-0.7865,0.402,Extracellular exchange,8.1312,4.7141
EX_rmn_e,-1.358,0.168,Extracellular exchange,9.9368,3.8767
EX_sbt__D_e,0.281,0.618,Extracellular exchange,5.233,6.358
EX_sel_e,0.7515,0.221,Extracellular exchange,7.7697,13.081
EX_ser__D_e,-0.2249,0.281,Extracellular exchange,9.1024,7.7882
EX_ser__L_e,-1.9195,0.206,Extracellular exchange,9.7981,2.5901
EX_skm_e,-0.923,0.357,Extracellular exchange,9.3055,4.9079
12DGR181tipp,0.4885,0.239,"Transport, Inner Membrane",2.5453,3.571
12PPDRtex,0.0154,0.733,"Transport, Outer Membrane Porin",0.2681,0.271
12PPDRtpp,0.6372,0.172,"Transport, Inner Membrane",7.6427,11.8867
EX_dms_e,0.0318,0.77,Extracellular exchange,6.5815,6.7281
12PPDStex,0.6238,0.111,"Transport, Outer Membrane Porin",7.2771,11.2135
12PPDStpp,0.0839,0.316,"Transport, Inner Membrane",1.065,1.1287
14GLUCANabcpp,2.0031,0.0249,"Transport, Inner Membrane",2.0924,8.3879
EX_slnt_e,0.2944,0.269,Extracellular exchange,0.706,0.8658
EX_so2_e,-0.0585,0.316,Extracellular exchange,7.2824,6.9931
EX_so3_e,-0.4748,0.392,Extracellular exchange,2.0349,1.4643
EX_dmso_e,-0.0044,0.491,Extracellular exchange,2.9081,2.8994
EX_so4_e,0.302,0.692,Extracellular exchange,6.5536,8.0798
EX_spmd_e,-0.8968,0.465,Extracellular exchange,5.4074,2.9043
EX_succ_e,-0.2611,0.773,Extracellular exchange,2.6429,2.2053
14GLUCANtexi,0.7974,0.22,"Transport, Outer Membrane",6.5937,11.4598
23CAMPtex,0.0877,0.72,"Transport, Outer Membrane Porin",2.5477,2.7073
23CCMPtex,0.3436,0.267,"Transport, Outer Membrane Porin",0.2961,0.3757
EX_sucr_e,-0.342,0.668,Extracellular exchange,1.1353,0.8957
EX_sulfac_e,-1.2619,0.322,Extracellular exchange,4.5403,1.8934
23CGMPtex,0.482,0.191,"Transport, Outer Membrane Porin",8.9158,12.4529
EX_tartr__D_e,-0.3612,0.736,Extracellular exchange,3.3085,2.5757
23CUMPtex,-0.2319,0.565,"Transport, Outer Membrane Porin",9.5337,8.1178
EX_dopa_e,-0.5134,0.324,Extracellular exchange,7.957,5.5743
23DAPPAt2pp,-0.1192,0.622,"Transport, Inner Membrane",7.3765,6.7914
23DAPPAtex,-0.0253,0.694,"Transport, Outer Membrane Porin",5.0086,4.9215
23PDE2pp,-1.2678,0.018,Nucleotide Salvage Pathway,4.7313,1.9648
23PDE4pp,-0.0632,0.616,Nucleotide Salvage Pathway,1.8529,1.7735
EX_tartr__L_e,-0.5575,0.398,Extracellular exchange,5.0747,3.4481
EX_taur_e,-0.2553,0.301,Extracellular exchange,2.1963,1.8402
EX_tcynt_e,0.0333,0.339,Extracellular exchange,6.0779,6.22
23PDE7pp,-0.9396,0.045,Nucleotide Salvage Pathway,7.3605,3.8377
23PDE9pp,-0.479,0.159,Nucleotide Salvage Pathway,7.1833,5.154
EX_doxrbcn_e,-0.1075,0.581,Extracellular exchange,7.3579,6.8296
26DAHtex,0.3167,0.188,"Transport, Outer Membrane Porin",4.0419,5.034
2AGPA120tipp,-0.804,0.178,"Transport, Inner Membrane",7.143,4.0913
EX_thm_e,-0.9757,0.379,Extracellular exchange,11.1441,5.6668
EX_thr__L_e,0.4823,0.244,Extracellular exchange,0.2299,0.3211
EX_dtmp_e,0.3302,0.448,Extracellular exchange,10.0923,12.6877
EX_thrp_e,0.1713,0.806,Extracellular exchange,4.424,4.9816
2AGPA140tipp,-0.1113,0.692,"Transport, Inner Membrane",2.977,2.7559
2AGPA141tipp,-0.295,0.259,"Transport, Inner Membrane",4.3638,3.5569
EX_thym_e,0.0654,0.483,Extracellular exchange,3.4512,3.6114
EX_dump_e,0.0835,0.475,Extracellular exchange,5.3814,5.702
EX_thymd_e,0.5952,0.354,Extracellular exchange,6.0287,9.1073
2AGPA160tipp,0.9102,0.103,"Transport, Inner Membrane",5.4799,10.2984
2AGPA161tipp,0.3795,0.273,"Transport, Inner Membrane",8.8195,11.4733
EX_tma_e,1.198,0.406,Extracellular exchange,7.4275,17.0405
EX_duri_e,0.0665,0.654,Extracellular exchange,9.4875,9.9349
EX_tmao_e,0.0061,0.481,Extracellular exchange,8.8292,8.8666
EX_tre_e,-0.0954,0.322,Extracellular exchange,8.3561,7.8213
EX_trp__L_e,0.1977,0.699,Extracellular exchange,13.6443,15.6481
2AGPA180tipp,-0.6104,0.182,"Transport, Inner Membrane",13.9377,9.1295
2AGPA181tipp,0.5883,0.318,"Transport, Inner Membrane",2.9704,4.4658
2AGPE120tipp,-0.7647,0.107,"Transport, Inner Membrane",6.9039,4.0634
2AGPE140tipp,-0.0983,0.682,"Transport, Inner Membrane",6.7984,6.3504
2AGPE141tipp,0.497,0.243,"Transport, Inner Membrane",3.8885,5.4877
2AGPE160tipp,0.3949,0.201,"Transport, Inner Membrane",6.0789,7.9927
EX_tsul_e,0.417,0.44,Extracellular exchange,6.2371,8.3272
EX_eca4colipa_e,0.6597,0.504,Extracellular exchange,2.641,4.1722
EX_ttdca_e,-0.235,0.489,Extracellular exchange,7.4117,6.2974
2AGPE161tipp,0.312,0.285,"Transport, Inner Membrane",5.6991,7.0749
2AGPE180tipp,0.4604,0.286,"Transport, Inner Membrane",4.6778,6.4362
2AGPE181tipp,0.4057,0.169,"Transport, Inner Membrane",10.1548,13.4523
2AGPEAT120,-0.8819,0.33,Glycerophospholipid Metabolism,4.7889,2.5987
EX_ttdcea_e,0.7152,0.2,Extracellular exchange,10.0327,16.4713
EX_enlipa_e,0.9096,0.466,Extracellular exchange,2.637,4.9537
2AGPEAT140,0.3507,0.558,Glycerophospholipid Metabolism,2.944,3.7542
2AGPEAT141,-0.7165,0.338,Glycerophospholipid Metabolism,5.8445,3.5568
2AGPEAT160,0.2883,0.549,Glycerophospholipid Metabolism,3.0629,3.7404
EX_ttrcyc_e,0.1739,0.775,Extracellular exchange,5.5331,6.2419
EX_enter_e,-0.3309,0.746,Extracellular exchange,7.3777,5.8655
2AGPEAT161,-0.0551,0.634,Glycerophospholipid Metabolism,3.3822,3.2556
EX_etha_e,-0.7449,0.291,Extracellular exchange,5.5337,3.3019
2AGPEAT180,-0.2127,0.597,Glycerophospholipid Metabolism,12.2247,10.549
2AGPEAT181,-0.8011,0.454,Glycerophospholipid Metabolism,3.6551,2.0978
EX_tungs_e,0.4151,0.465,Extracellular exchange,9.8294,13.1068
EX_tym_e,0.2808,0.775,Extracellular exchange,7.2217,8.7737
2AGPG120tipp,0.9686,0.119,"Transport, Inner Membrane",0.4627,0.9056
EX_ethso3_e,-0.362,0.607,Extracellular exchange,2.823,2.1966
2AGPG140tipp,-0.2044,0.655,"Transport, Inner Membrane",4.4724,3.8815
2AGPG141tipp,0.1421,0.649,"Transport, Inner Membrane",5.0949,5.6222
2AGPG160tipp,0.6672,0.19,"Transport, Inner Membrane",6.4782,10.2876
2AGPG161tipp,0.4434,0.276,"Transport, Inner Membrane",8.2823,11.2622
EX_tyr__L_e,-0.785,0.435,Extracellular exchange,4.2795,2.4837
EX_tyrp_e,0.3846,0.298,Extracellular exchange,5.7871,7.5549
EX_uacgam_e,-0.3024,0.692,Extracellular exchange,7.9755,6.4675
EX_udpacgal_e,0.9988,0.208,Extracellular exchange,5.5846,11.1598
EX_udpg_e,-0.0626,0.898,Extracellular exchange,0.9176,0.8786
2AGPG180tipp,0.1349,0.394,"Transport, Inner Membrane",4.6367,5.0911
2AGPG181tipp,-0.4578,0.42,"Transport, Inner Membrane",6.8665,4.9995
2AGPGAT120,0.1417,0.36,Glycerophospholipid Metabolism,4.3413,4.7895
EX_udpgal_e,-0.2172,0.588,Extracellular exchange,3.4344,2.9543
EX_etoh_e,-0.689,0.333,Extracellular exchange,4.8824,3.0284
EX_udpglcur_e,0.3875,0.416,Extracellular exchange,3.7639,4.9237
2AGPGAT140,0.2397,0.338,Glycerophospholipid Metabolism,7.2095,8.5125
2AGPGAT141,-0.0717,0.446,Glycerophospholipid Metabolism,4.6307,4.4061
2AGPGAT160,0.3828,0.407,Glycerophospholipid Metabolism,0.5796,0.7557
2AGPGAT161,-0.0963,0.679,Glycerophospholipid Metabolism,0.5419,0.5069
EX_ump_e,-0.667,0.326,Extracellular exchange,1.6365,1.0307
2AGPGAT180,-0.2063,0.4,Glycerophospholipid Metabolism,7.1163,6.1683
EX_f6p_e,-0.6824,0.272,Extracellular exchange,4.7882,2.9838
2AGPGAT181,0.1057,0.418,Glycerophospholipid Metabolism,5.4425,5.856
EX_ura_e,0.4262,0.617,Extracellular exchange,8.5732,11.52
2DGULRGx,-0.772,0.341,Alternate Carbon Metabolism,4.1741,2.4444
EX_urea_e,0.8141,0.455,Extracellular exchange,7.3437,12.9119
2DGULRGy,0.2843,0.613,Alternate Carbon Metabolism,7.1704,8.7324
EX_fald_e,-0.0904,0.526,Extracellular exchange,3.3737,3.1687
2DGULRx,-0.5199,0.582,Alternate Carbon Metabolism,7.5826,5.2882
2DGULRy,0.3236,0.718,Alternate Carbon Metabolism,7.418,9.2835
EX_uri_e,0.151,0.731,Extracellular exchange,6.7797,7.5275
2MAHMP,-0.2452,0.431,Cofactor and Prosthetic Group Biosynthesis,2.7054,2.2825
34dhpactex,1.0277,0.0818,"Transport, Outer Membrane Porin",6.738,13.7371
EX_fe2_e,-1.1795,0.278,Extracellular exchange,7.5839,3.3482
